localized_name,AVG Deaths,count,winrate,winrate_wilson,sum,min_d,max_d,stddev,AVG Kills,count,winrate,winrate_wilson,sum,min_k,max_k,stddev,AVG Assists,count,winrate,winrate_wilson,sum,min_a,max_a,stddev
Phantom Assassin,3.3125,16,0.5,0.279992376,141,1,16,4.593020067,7.375,16,0.5,0.279992376,141,1,16,4.593020067,8.8125,16,0.5,0.279992376,141,1,16,4.593020067
Sven,3.305263158,95,0.463157895,0.366274742,846,0,20,4.909984799,7.147368421,95,0.463157895,0.366274742,846,0,20,4.909984799,8.905263158,95,0.463157895,0.366274742,846,0,20,4.909984799
Wraith King,3.299145299,117,0.521367521,0.431617812,1174,0,30,5.415386164,5.581196581,117,0.521367521,0.431617812,1174,0,30,5.415386164,10.03418803,117,0.521367521,0.431617812,1174,0,30,5.415386164
Sniper,3.285714286,21,0.523809524,0.323692179,256,2,23,5.363012657,8.761904762,21,0.523809524,0.323692179,256,2,23,5.363012657,12.19047619,21,0.523809524,0.323692179,256,2,23,5.363012657
Slark,3.228070175,57,0.526315789,0.399177945,448,0,20,4.485845184,7.140350877,57,0.526315789,0.399177945,448,0,20,4.485845184,7.859649123,57,0.526315789,0.399177945,448,0,20,4.485845184
Mirana,3.191489362,47,0.510638298,0.372422176,635,3,35,6.220136796,6,47,0.510638298,0.372422176,635,3,35,6.220136796,13.5106383,47,0.510638298,0.372422176,635,3,35,6.220136796
Alchemist,3.163265306,49,0.571428571,0.432702475,554,1,24,5.389820968,6.734693878,49,0.571428571,0.432702475,554,1,24,5.389820968,11.30612245,49,0.571428571,0.432702475,554,1,24,5.389820968
Lifestealer,3.084337349,83,0.493975904,0.38908688,760,0,28,6.173274278,6.469879518,83,0.493975904,0.38908688,760,0,28,6.173274278,9.156626506,83,0.493975904,0.38908688,760,0,28,6.173274278
Dragon Knight,3.047619048,21,0.619047619,0.408782958,210,0,19,5.941380311,5.904761905,21,0.619047619,0.408782958,210,0,19,5.941380311,10,21,0.619047619,0.408782958,210,0,19,5.941380311
Morphling,2.98245614,57,0.50877193,0.382596803,374,0,16,4.136153941,8.403508772,57,0.50877193,0.382596803,374,0,16,4.136153941,6.561403509,57,0.50877193,0.382596803,374,0,16,4.136153941
Juggernaut,2.694117647,85,0.494117647,0.390406533,710,1,20,5.393351026,6.988235294,85,0.494117647,0.390406533,710,1,20,5.393351026,8.352941176,85,0.494117647,0.390406533,710,1,20,5.393351026
Naga Siren,2.647058824,34,0.470588235,0.314512516,264,3,17,3.931680368,4.588235294,34,0.470588235,0.314512516,264,3,17,3.931680368,7.764705882,34,0.470588235,0.314512516,264,3,17,3.931680368
Phantom Lancer,2.636363636,11,0.454545455,0.212709575,69,0,12,3.408545411,7.818181818,11,0.454545455,0.212709575,69,0,12,3.408545411,6.272727273,11,0.454545455,0.212709575,69,0,12,3.408545411
Medusa,2.62962963,27,0.518518519,0.339853246,218,1,16,4.665140165,3.740740741,27,0.518518519,0.339853246,218,1,16,4.665140165,8.074074074,27,0.518518519,0.339853246,218,1,16,4.665140165
Terrorblade,2.615384615,13,0.615384615,0.35522481,77,2,10,2.628736657,5.307692308,13,0.615384615,0.35522481,77,2,10,2.628736657,5.923076923,13,0.615384615,0.35522481,77,2,10,2.628736657
Broodmother,2.5,20,0.5,0.299294914,108,0,17,4.272309865,7.7,20,0.5,0.299294914,108,0,17,4.272309865,5.4,20,0.5,0.299294914,108,0,17,4.272309865
Anti-Mage,2.269230769,26,0.5,0.320603063,182,1,18,4.849742261,7.384615385,26,0.5,0.320603063,182,1,18,4.849742261,7,26,0.5,0.320603063,182,1,18,4.849742261
